IDCountry,NameCountry
782,No Country on this record
783,No Country on this record
784,No Country on this record
785,No Country on this record
786,No Country on this record
787,No Country on this record
788,No Country on this record
789,No Country on this record
790,No Country on this record
791,No Country on this record
792,No Country on this record
793,No Country on this record
794,No Country on this record
795,No Country on this record
796,No Country on this record
797,No Country on this record
798,No Country on this record
799,No Country on this record
800,No Country on this record
801,No Country on this record
802,No Country on this record
803,No Country on this record
804,No Country on this record
805,No Country on this record
806,No Country on this record
807,No Country on this record
808,No Country on this record
809,No Country on this record
810,No Country on this record
811,No Country on this record
812,No Country on this record
813,No Country on this record
814,No Country on this record
815,No Country on this record
816,No Country on this record
817,No Country on this record
818,No Country on this record
819,No Country on this record
820,No Country on this record
821,No Country on this record
822,No Country on this record
823,No Country on this record
824,No Country on this record
825,No Country on this record
826,No Country on this record
827,No Country on this record
828,No Country on this record
829,No Country on this record
830,No Country on this record
831,No Country on this record
832,No Country on this record
833,No Country on this record
834,No Country on this record
835,No Country on this record
836,No Country on this record
837,No Country on this record
838,No Country on this record
839,No Country on this record
840,No Country on this record
841,No Country on this record
842,No Country on this record
843,No Country on this record
844,No Country on this record
845,No Country on this record
846,No Country on this record
847,No Country on this record
848,No Country on this record
849,No Country on this record
850,No Country on this record
851,No Country on this record
852,No Country on this record
853,No Country on this record
854,No Country on this record
855,No Country on this record
856,No Country on this record
857,No Country on this record
858,No Country on this record
859,No Country on this record
860,No Country on this record
861,No Country on this record
862,No Country on this record
863,No Country on this record
864,No Country on this record
865,No Country on this record
866,No Country on this record
867,No Country on this record
868,No Country on this record
869,No Country on this record
870,No Country on this record
871,No Country on this record
872,No Country on this record
873,No Country on this record
874,No Country on this record
875,No Country on this record
876,No Country on this record
877,No Country on this record
878,No Country on this record
879,No Country on this record
880,No Country on this record
881,No Country on this record
882,No Country on this record
883,No Country on this record
884,No Country on this record
885,No Country on this record
886,No Country on this record
887,No Country on this record
888,No Country on this record
889,No Country on this record
890,No Country on this record
891,No Country on this record
892,No Country on this record
893,No Country on this record
894,No Country on this record
895,No Country on this record
896,No Country on this record
897,No Country on this record
898,No Country on this record
899,No Country on this record
900,No Country on this record
901,No Country on this record
902,No Country on this record
903,No Country on this record
904,No Country on this record
905,No Country on this record
906,No Country on this record
907,No Country on this record
908,No Country on this record
909,No Country on this record
910,No Country on this record
911,No Country on this record
912,No Country on this record
913,No Country on this record
914,No Country on this record
915,No Country on this record
916,No Country on this record
917,No Country on this record
